Function Name,Quản lý khách hàng,,,,,
Test Result,Chrome,,,,,
Total,53,,,,,
Passed,25,,,,,
Failed,0,,,,,
Not Run,0,,,,,
NA,28,,,,,
,,,,,,
ID,Summary,Steps,Expected Output,Current Ouput,Test Results,Notes
,,,,,Chrome,
I. Kiểm tra tính năng Quản lý khách hàng,,,,,,
1. Kiểm thử giao diện (UI/UX),,,,,,
QLKH_001,"Kiểm tra giao diện mặc định của màn hình ""Quản lý khách hàng""","1. Đăng nhập với tài khoản admin
2. Di chuyển đến màn hình ""Quản lý khách hàng""
3. Kiểm tra giao diện mặc định của màn hình","- Hiển thị tiêu đề ""Khách Hàng""
- Hiển thị thanh tìm kiếm
- Hiển thị bảng danh sách khách hàng với các cột: ID, Tên đăng nhập, Họ và tên, Email, Số điện thoại, Trạng thái, Ngày tạo
- Hiển thị phân trang","- Hiển thị tiêu đề ""Khách Hàng""
- Hiển thị thanh tìm kiếm với trường ""Tên Khách Hàng""
- Hiển thị bảng danh sách khách hàng với các cột: ID, Tên đăng nhập, Họ và tên, Email, Số điện thoại, Trạng thái, Ngày tạo
- Hiển thị phân trang",Passed,Chức năng chỉ hiển thị danh sách khách hàng
QLKH_002,"Kiểm tra bố cục, căn chỉnh các field, font, size, color","1. Kiểm tra bố cục, căn chỉnh các field, font, size, color của màn hình ""Quản lý khách hàng""","- Căn chỉnh các cột trong bảng hợp lý, thẳng hàng
- Bố cục, font, size, color hiển thị đúng theo thiết kế
- Các nút chức năng được căn chỉnh hợp lý","- Các cột trong bảng được căn chỉnh thẳng hàng
- Bố cục, font, size, color hiển thị đúng theo thiết kế
- Nút tìm kiếm được căn chỉnh hợp lý",Passed,
QLKH_003,"Kiểm tra hiển thị dữ liệu trong bảng khách hàng","1. Kiểm tra hiển thị dữ liệu trong bảng khách hàng","- Dữ liệu khách hàng được hiển thị đầy đủ và chính xác
- Trạng thái khách hàng được hiển thị bằng màu sắc hoặc biểu tượng phù hợp
- Ngày tạo được hiển thị đúng định dạng","- Dữ liệu khách hàng được hiển thị đầy đủ và chính xác
- Trạng thái khách hàng được hiển thị bằng badge màu xanh với text ""Hoạt động"" hoặc ""Không hoạt động""
- Ngày tạo được hiển thị đúng định dạng dd/MM/yyyy",Passed,
