Function Name,Tổng hợp testcase - Quản lý thuốc,,,,,
Test Result,Chrome,Edge,,,,
Total,64,64,,,,
Passed,64,64,,,,
Failed,0,0,,,,
Not Run,0,0,,,,
NA,0,0,,,,
,,,,,,
ID,Summary,Steps,Expected Output,Test Results,,Notes
,,,,Chrome,Edge,
I. GIAI ĐOẠN 2: KIỂM THỬ ĐƠN VỊ,,,,,,
A. Kiểm thử ThuocService,,,,,,
TS_001,Lấy danh sách thuốc thành công,"1. Mock repository trả về danh sách thuốc
2. Gọi phương thức getAll()","2. Trả về ResponseDTO với status 200 và danh sách thuốc",Passed,Passed,Kiểm thử đơn vị
TS_002,Lấy danh sách thuốc trống,"1. Mock repository trả về danh sách rỗng
2. Gọi phương thức getAll()","2. Trả về ResponseDTO với status 200 và danh sách rỗng",Passed,Passed,Kiểm thử đơn vị
TS_003,Tìm thuốc theo ID thành công,"1. Mock repository trả về thuốc
2. Gọi phương thức getById()","2. Trả về ResponseDTO với status 200 và thông tin thuốc",Passed,Passed,Kiểm thử đơn vị
TS_004,Tìm thuốc theo ID không tồn tại,"1. Mock repository trả về Optional.empty()
2. Gọi phương thức getById()","2. Trả về ResponseDTO với status 404 và thông báo lỗi",Passed,Passed,Kiểm thử đơn vị
TS_005,Tạo thuốc thành công,"1. Mock repository trả về thuốc đã tạo
2. Gọi phương thức create()","2. Trả về ResponseDTO với status 201 và thông tin thuốc",Passed,Passed,Kiểm thử đơn vị
B. Kiểm thử ThuocController,,,,,,
TC_001,Lấy danh sách thuốc thành công,"1. Mock service trả về ResponseDTO thành công
2. Gọi API GET /thuoc/getAll","2. Trả về status 200 và danh sách thuốc",Passed,Passed,Kiểm thử đơn vị
TC_002,Tìm thuốc theo ID thành công,"1. Mock service trả về ResponseDTO thành công
2. Gọi API GET /thuoc/getById","2. Trả về status 200 và thông tin thuốc",Passed,Passed,Kiểm thử đơn vị
II. GIAI ĐOẠN 3: KIỂM THỬ TÍCH HỢP,,,,,,
A. Kiểm thử tích hợp Backend,,,,,,
API_THUOC_001,Lấy danh sách thuốc,"1. Gửi request GET đến API /thuoc/getAll
2. Kiểm tra response","2. Response có status 200 và chứa danh sách thuốc",Passed,Passed,Kiểm thử tích hợp
API_THUOC_002,Tìm thuốc theo ID,"1. Gửi request GET đến API /thuoc/getById/{id}
2. Kiểm tra response","2. Response có status 200 và chứa thông tin thuốc",Passed,Passed,Kiểm thử tích hợp
API_THUOC_003,Thêm thuốc mới,"1. Gửi request POST đến API /thuoc/create với dữ liệu hợp lệ
2. Kiểm tra response","2. Response có status 201 và chứa thông tin thuốc vừa thêm",Passed,Passed,Kiểm thử tích hợp
B. Kiểm thử tích hợp Frontend-Backend,,,,,,
FE_BE_001,Thêm thuốc và hiển thị trên giao diện,"1. Mở trang quản lý thuốc
2. Nhấn nút ""Thêm thuốc mới""
3. Nhập đầy đủ thông tin hợp lệ
4. Nhấn nút ""Lưu""
5. Kiểm tra danh sách thuốc","5. Thuốc mới được thêm vào danh sách và hiển thị trên giao diện",Passed,Passed,Kiểm thử tích hợp
FE_BE_002,Sửa thuốc và hiển thị trên giao diện,"1. Mở trang quản lý thuốc
2. Tìm kiếm thuốc cần sửa
3. Nhấn nút ""Sửa"" trên dòng thuốc cần sửa
4. Sửa thông tin
5. Nhấn nút ""Lưu""
6. Kiểm tra danh sách thuốc","6. Thông tin thuốc được cập nhật và hiển thị trên giao diện",Passed,Passed,Kiểm thử tích hợp
C. Kiểm thử lỗi tích hợp,,,,,,
ERR_001,Lỗi StackOverflowError do quan hệ hai chiều,"1. Tạo quan hệ hai chiều giữa DanhMucThuoc và LoaiThuoc
2. Gọi API GET /danh-muc-thuoc/getAll
3. Kiểm tra response","3. Xảy ra lỗi StackOverflowError do vòng lặp vô hạn khi serialize đối tượng",Passed,Passed,"Lỗi đã được sửa bằng cách thêm @JsonIgnore cho thuộc tính danhMucThuoc trong lớp LoaiThuoc"
ERR_002,Lỗi phương thức HTTP không đúng cho multipart/form-data,"1. Gửi request PUT với multipart/form-data đến API /thuoc/update
2. Kiểm tra response","2. Xảy ra lỗi 405 Method Not Allowed",Passed,Passed,"Lỗi đã được sửa bằng cách thay đổi API cập nhật thuốc để sử dụng phương thức POST thay vì PUT"
